"","pt_id","hab_type","dist_to_water_m","percent_tree_cover","date_1","date_2","date_3","date_4","date_5","date_6","date_7","date_8","obs_name_1","obs_name_2","obs_name_3","obs_name_4","obs_name_5","obs_name_6","obs_name_7","obs_name_8","five_min_start_1","five_min_start_2","five_min_start_3","five_min_start_4","five_min_start_5","five_min_start_6","five_min_start_7","five_min_start_8","sunset_time_1","sunset_time_2","sunset_time_3","sunset_time_4","sunset_time_5","sunset_time_6","sunset_time_7","sunset_time_8","clouds_1","clouds_2","clouds_3","clouds_4","clouds_5","clouds_6","clouds_7","clouds_8","wind_1","wind_2","wind_3","wind_4","wind_5","wind_6","wind_7","wind_8","precip_1","precip_2","precip_3","precip_4","precip_5","precip_6","precip_7","precip_8","humidity_1","humidity_2","humidity_3","humidity_4","humidity_5","humidity_6","humidity_7","humidity_8","ave_temp_1","ave_temp_2","ave_temp_3","ave_temp_4","ave_temp_5","ave_temp_6","ave_temp_7","ave_temp_8","ave_lux_1","ave_lux_2","ave_lux_3","ave_lux_4","ave_lux_5","ave_lux_6","ave_lux_7","ave_lux_8","light_source_1","light_source_2","light_source_3","light_source_4","light_source_5","light_source_6","light_source_7","light_source_8","sky_glow_1","sky_glow_2","sky_glow_3","sky_glow_4","sky_glow_5","sky_glow_6","sky_glow_7","sky_glow_8","ave_sm_1","ave_sm_2","ave_sm_3","ave_sm_4","ave_sm_5","ave_sm_6","ave_sm_7","ave_sm_8"
"1","PS01","riparian",3.3,85,2024-06-09,2024-06-17,2024-06-24,2024-07-02,2024-07-09,2024-07-29,2024-08-13,NA,"rl","rl","rl","rl","rl","kw","rl",NA,1930,2056,1958,1950,1949,1949,1959,NA,1927,1930,1932,1932,1931,1921,1908,NA,"0-20","0-20","61-80","41-60","61-80","81-100","61-80",NA,0,0,0.8,0,1,0.8,0.7,NA,"dry","dry","recent rain","dry","dry","rain","recent rain",NA,28,27,71,58,29.2,71.4,87.9,NA,75.9,79.1,80.55,84.5,85.05,75.4,71.6,NA,146,0,0,23,20,0,0,NA,"sun","moon","sun","sun","sun","artificial light","sun",NA,"none","none","none","none","none","yes","none",NA,5.5,NA,4.75,3.25,1.25,2,4.25,NA
"2","PS03","woodland",117,93.3,2024-06-09,2024-06-17,2024-06-24,2024-07-02,2024-07-09,2024-07-29,2024-08-13,NA,"rl","rl","rl","rl","rl","kw","rl",NA,2003,2038,1939,2007,2020,2018,1941,NA,1927,1930,1932,1932,1931,1921,1908,NA,"0-20","0-20","41-60","41-60","61-80","81-100","61-80",NA,0,0.7,0,0,1.6,0.8,1,NA,"dry","dry","recent rain","dry","dry","recent rain","recent rain",NA,26.8,23.5,70.8,82.2,31.6,86.4,79,NA,74.55,80.1,81.45,81.9,83.95,77.25,71.05,NA,0,0,7.5,0,0,0,0,NA,"sun","moon","sun","sun","sun","artificial light","sun",NA,"none","none","none","none","none","yes","none",NA,5.66666666666667,1.75,4.5,10,8,7,9.75,NA
"3","PS04","riparian",4,80,2024-06-10,2024-06-18,2024-06-23,2024-06-23,2024-07-01,2024-07-08,2024-07-22,2024-08-03,"rl","rl","rl","rl","rl","rl","rl","kw",1928,2046,1935,2130,2030,1953,1944,1955,1927,1931,1932,1932,1932,1931,1925,1917,"0-20","0-20","81-100","81-100","0-20","0-20","0-20","21-40",0,0,0.9,0,0,0,0,1.4,"dry","dry","recent rain","recent rain","dry","dry","recent rain (day before)","recent rain",38.8,40.9,87.3,75.7,79.6,39.8,66.3,68.5,74.65,74.3,71.1,73.7,78.75,80.25,82.5,83.1,27.5,0,5,0,0,4.5,9,1.5,"sun","moon","sun","moon","sun","sun","sun",NA,"none","none","none","yes","none","none","none","yes",9.25,9.25,9.625,9.625,10,10,9.5,10
"4","PS05","woodland",42.7,58.3,2024-06-10,2024-06-18,2024-06-23,2024-07-01,2024-07-08,2024-08-13,NA,NA,"rl","rl","rl","rl","rl","rl",NA,NA,2003,2029,2024,2107,2030,2056,NA,NA,1928,1931,1932,1932,1931,1908,NA,NA,"0-20","0-20","81-100","0-20","0-20","21-40",NA,NA,0,0,1.1,0,0,0,NA,NA,"dry","dry","recent rain","dry","dry","recent rain",NA,NA,36,35.4,72.7,67,62.9,80,NA,NA,71.65,75.3,76.8,77.8,78.75,72,NA,NA,0,0,0,0,0,0,NA,NA,"sun","moon","moon","artificial light","sun","moon",NA,NA,"none","none","none","yes","none","none",NA,NA,1,1.375,3.25,7,6,6.25,NA,NA
"5","PS06","woodland",91,83.3,2024-06-10,2024-06-18,2024-06-23,2024-07-01,2024-07-08,2024-07-22,2024-08-03,2024-08-13,"rl","rl","rl","rl","rl","rl","kw","rl",2016,2016,2041,2119,2046,2030,2045,2109,1928,1931,1932,1932,1931,1925,1917,1908,"0-20","0-20","81-100","0-20","0-20","0-20","61-80","0-20",0,0,1.1,0,0,0,5.4,0,"dry","dry","recent rain","dry","dry","recent rain (day before)","recent rain","recent rain",36,38.4,70.5,75.7,47,68,45.2,83.4,68.2,76.2,74.1,74.75,76.45,76.1,81.1,71.85,0,0,0,0,0,0,0,0,"sun","moon","moon","artificial light","artificial light","artificial light","artificial light","moon","none","none","yes","yes","yes","yes","yes","none",1.875,2.25,5.75,7.5,5.75,7.5,6.5,8.75
"6","PS07","woodland",67,61.7,2024-06-10,2024-06-18,2024-06-23,2024-07-01,2024-07-08,2024-07-22,2024-08-03,2024-08-13,"rl","rl","rl","rl","rl","rl","kw","rl",1946,2103,2004,2054,2013,2011,2101,2028,1928,1931,1932,1932,1931,1925,1917,1908,"0-20","0-20","81-100","0-20","0-20","0-20","61-80","41-60",0,0,1.1,0,0,0,7,0,"dry","dry","recent rain","dry","dry","recent rain (day before)","recent rain","recent rain",30,37.7,83.5,71.2,45.9,61.5,46.7,86.5,72.7,71.1,71.85,76.95,79.3,79.85,85.5,70.2,2.5,0,0,0,0,0,0,0,"sun","moon","sun","artificial light","sun","artificial light","artificial light","artificial light","none","none","none","yes","none","yes","yes","yes",2.625,1.5,3.35,6.75,5,6.25,7.25,5
"7","PS08","riparian",2,100,2024-06-10,2024-06-18,2024-06-23,2024-07-08,2024-07-22,2024-08-03,2024-08-13,NA,"rl","rl","rl","rl","rl","kw","rl",NA,2036,1946,2101,2111,2056,2021,2129,NA,1928,1931,1932,1931,1925,1917,1908,NA,"0-20","0-20","81-100","0-20","0-20","41-60","0-20",NA,0,0.8,1.7,0,0,5.4,0,NA,"dry","dry","recent rain","dry","recent rain (day before)","recent rain","recent rain",NA,47.5,23.9,78.54,48.7,73.7,55.6,84.4,NA,66.25,80.75,72.7,75.9,72.8,83.95,74,NA,0,8.5,0,0,0,0,0,NA,"moon","sun","moon","artificial light","artificial light",NA,"moon",NA,"none","none","yes","yes","yes","yes","none",NA,5.125,5.875,6.375,6,7.5,7,9,NA
"8","PS09","cienega",205,23.3,2024-06-09,2024-06-17,2024-07-01,2024-07-09,2024-07-29,NA,NA,NA,"rl","rl","rl","rl","kw",NA,NA,NA,2101,1930,1948,2123,2118,NA,NA,NA,1927,1930,1932,1931,1921,NA,NA,NA,"0-20","0-20","0-20","81-100","81-100",NA,NA,NA,0,0.9,0,0,6.9,NA,NA,NA,"dry","dry","dry","dry","recent rain",NA,NA,NA,41.8,17.8,82,42.4,66.6,NA,NA,NA,62.8,84.55,77.1,78,73.25,NA,NA,NA,0,499.5,70,0,0,NA,NA,NA,"moon","sun","sun","sun","artificial light",NA,NA,NA,"yes","none","none","none","yes",NA,NA,NA,10,9.75,10,10,9.5,NA,NA,NA
"9","PS10","cienega",100,25,2024-06-09,2024-06-17,2024-06-24,2024-07-09,2024-07-29,NA,NA,NA,"rl","rl","rl","rl","kw",NA,NA,NA,2032,2013,2022,2100,2151,NA,NA,NA,1927,1930,1932,1931,1921,NA,NA,NA,"0-20","0-20","81-100","81-100","81-100",NA,NA,NA,0,2.1,0,0.1,2,NA,NA,NA,"dry","dry","rain","dry","rain",NA,NA,NA,28,24.3,70.8,36.5,60,NA,NA,NA,66.1,78,78.95,80.8,74.8,NA,NA,NA,0,0,0,0,0,NA,NA,NA,"sun","moon","moon","sun","artificial light",NA,NA,NA,"none","none","none","none","yes",NA,NA,NA,9.5,8.875,9.75,9.5,9,NA,NA,NA
"10","PS11","cienega",67,40,2024-06-09,2024-06-17,2024-07-02,NA,NA,NA,NA,NA,"rl","rl","rl",NA,NA,NA,NA,NA,2121,1954,2037,NA,NA,NA,NA,NA,1927,1930,1932,NA,NA,NA,NA,NA,"0-20","0-20","61-80",NA,NA,NA,NA,NA,0,3.2,3,NA,NA,NA,NA,NA,"dry","dry","dry",NA,NA,NA,NA,NA,38.6,24,58.1,NA,NA,NA,NA,NA,60.9,78.55,79.65,NA,NA,NA,NA,NA,0,19.5,0,NA,NA,NA,NA,NA,"moon","sun","sun",NA,NA,NA,NA,NA,"yes","none","none",NA,NA,NA,NA,NA,9.75,9.25,10,NA,NA,NA,NA,NA
